Restaurant_Name,City,Country,Continent,Cuisine_Type,Michelin_Stars,Average_Price_USD,Chef,Established_Year,Seating_Capacity,Rating,Signature_Dish,Years_Operating,Price_Category
Osteria Francescana,Modena,Italy,Europe,Italian Contemporary,3,320,Massimo Bottura,1995,28,4.9,Five Ages Of Parmigiano,30,Luxury
Odette,Singapore,Singapore,Asia,French Contemporary,3,320,Julien Royer,2008,32,4.9,Hokkaido Sea Urchin,17,Luxury
The French Laundry,Yountville,Usa,North America,French,3,390,Thomas Keller,1994,60,4.9,Oysters And Pearls,31,Luxury
Arpège,Paris,France,Europe,French Vegetarian,3,425,Alain Passard,1986,40,4.9,Heirloom Tomatoes,39,Ultra-Luxury
Mirazur,Menton,France,Europe,Mediterranean,3,350,Mauro Colagreco,1991,36,4.8,Salt Crusted Beetroot,34,Luxury
Frantzén,Stockholm,Sweden,Europe,Nordic Contemporary,3,380,Björn Frantzén,2008,23,4.8,Reindeer Moss,17,Luxury
Le Bernardin,New York,Usa,North America,French Seafood,3,295,Eric Ripert,1972,62,4.8,Barely Cooked Salmon,53,Luxury
Piazza Duomo,Alba,Italy,Europe,Italian,3,310,Enrico Crippa,2005,35,4.8,Fassona Beef,20,Luxury
Arzak,San Sebastián,Spain,Europe,Basque,3,295,Juan Mari Arzak,1897,50,4.8,Red Mullet,128,Luxury
Atelier Crenn,San Francisco,Usa,North America,Contemporary French,3,345,Dominique Crenn,2011,50,4.8,Kir Breton Royale,14,Luxury
Benu,San Francisco,Usa,North America,Contemporary American,3,298,Corey Lee,2010,56,4.8,Thousand Year Quail Egg,15,Luxury
Alléno Paris,Paris,France,Europe,French Haute Cuisine,3,385,Yannick Alléno,2003,55,4.8,Cabbage & Caviar,22,Luxury
La Pergola,Rome,Italy,Europe,Italian Haute Cuisine,3,310,Heinz Beck,1994,50,4.8,Fagottelli,31,Luxury
Quique Dacosta,Dénia,Spain,Europe,Mediterranean,3,270,Quique Dacosta,1989,48,4.8,Rice With Seafood,36,Luxury
L'Astrance,Paris,France,Europe,French Contemporary,3,305,Pascal Barbot,2000,25,4.8,Lobster Ravioli,25,Luxury
El Celler de Can Roca,Girona,Spain,Europe,Contemporary Catalan,3,280,Joan Roca,1986,45,4.7,El Mundo,39,Luxury
Geranium,Copenhagen,Denmark,Europe,New Nordic,3,420,Rasmus Kofoed,2007,40,4.7,Radish & Roses,18,Ultra-Luxury
Eleven Madison Park,New York,Usa,North America,Contemporary American,3,365,Daniel Humm,1998,80,4.7,Lavender Honey Duck,27,Luxury
Alinea,Chicago,Usa,North America,Molecular Gastronomy,3,385,Grant Achatz,2005,64,4.7,Black Truffle Explosion,20,Luxury
Le Calandre,Rubano,Italy,Europe,Italian,3,290,Massimiliano Alajmo,1981,50,4.7,Risotto,44,Luxury
Azurmendi,Larrabetzu,Spain,Europe,Basque,3,265,Eneko Atxa,2005,45,4.7,Roasted Egg,20,Luxury
Ultraviolet,Shanghai,China,Asia,Avant-Garde,3,570,Paul Pairet,2012,10,4.6,20 Textures,13,Ultra-Luxury
Noma,Copenhagen,Denmark,Europe,New Nordic,2,450,René Redzepi,2003,40,4.8,Fermented Vegetables,22,Ultra-Luxury
Den,Tokyo,Japan,Asia,Japanese Kaiseki,2,280,Zaiyu Hasegawa,2007,26,4.7,Dentucky Fried Chicken,18,Luxury
SingleThread,Healdsburg,Usa,North America,Japanese-Californian,2,325,Kyle & Katina Connaughton,2016,48,4.7,Whole Roasted Chicken,9,Luxury
Restaurant Tim Raue,Berlin,Germany,Europe,Asian Fusion,2,245,Tim Raue,2010,48,4.7,Char Sui Duck,15,Premium
Narisawa,Tokyo,Japan,Asia,Japanese Innovative,2,275,Yoshihiro Narisawa,2003,36,4.7,Satoyama Cuisine,22,Luxury
Florilège,Tokyo,Japan,Asia,French Contemporary,2,235,Hiroyasu Kawate,2009,28,4.7,Ayu Fish,16,Premium
Steirereck,Vienna,Austria,Europe,Austrian Contemporary,2,265,Heinz Reitbauer,2005,60,4.7,Char With Hay,20,Luxury
Momofuku Ko,New York,Usa,North America,Contemporary American,2,285,Sean Gray,2008,12,4.7,Shaved Foie Gras,17,Luxury
Restaurant André,Singapore,Singapore,Asia,Asian Fusion,2,285,André Chiang,2010,30,4.7,Octopus,15,Luxury
Amber,Hong Kong,Hong Kong,Asia,French,2,245,Richard Ekkebus,2005,46,4.7,Langoustine,20,Premium
Disfrutar,Barcelona,Spain,Europe,Mediterranean,2,250,Oriol Castro,2014,52,4.6,Panchino,11,Luxury
Mugaritz,Errenteria,Spain,Europe,Basque Experimental,2,275,Andoni Luis Aduriz,1998,20,4.6,Edible Stones,27,Luxury
Alchemist,Copenhagen,Denmark,Europe,Experimental,2,550,Rasmus Munk,2015,50,4.5,Dehydrated Malt Flatbread,10,Ultra-Luxury
Asador Etxebarri,Axpe,Spain,Europe,Basque Grill,1,210,Victor Arguinzoniz,1990,30,4.7,Grilled Turbot,35,Premium
The Clove Club,London,Uk,Europe,British Contemporary,1,165,Isaac Mchale,2013,40,4.6,Buttermilk Chicken,12,Premium
Burnt Ends,Singapore,Singapore,Asia,Modern Bbq,1,165,Dave Pynt,2013,26,4.6,Sanger,12,Premium
Septime,Paris,France,Europe,French Contemporary,1,95,Bertrand Grébaut,2011,28,4.5,Celeriac Toast,14,Fine Dining
Central,Lima,Peru,South America,Contemporary Peruvian,0,180,Virgilio Martínez,2008,50,4.8,Piranha & Coca,17,Premium
Maido,Lima,Peru,South America,Nikkei,0,165,Mitsuharu Tsumura,2009,36,4.7,Causa Nikkei,16,Premium
Pujol,Mexico City,Mexico,North America,Contemporary Mexican,0,155,Enrique Olvera,2000,55,4.7,Mole Madre,25,Premium
Gaggan Anand,Bangkok,Thailand,Asia,Progressive Indian,0,195,Gaggan Anand,2017,14,4.6,Lick It Up,8,Premium
Quintonil,Mexico City,Mexico,North America,Contemporary Mexican,0,140,Jorge Vallejo,2012,48,4.6,Esquites,13,Fine Dining
Sühring,Bangkok,Thailand,Asia,Contemporary German,0,185,Thomas & Mathias Sühring,2014,48,4.6,Massaman Curry,11,Premium
Boragó,Santiago,Chile,South America,Chilean Contemporary,0,145,Rodolfo Guzmán,2006,40,4.6,Sea Urchin,19,Fine Dining
Blue Hill at Stone Barns,Pocantico Hills,Usa,North America,Farm-To-Table,0,285,Dan Barber,2004,70,4.6,Root Vegetables,21,Luxury
White Rabbit,Moscow,Russia,Europe,Contemporary Russian,0,220,Vladimir Mukhin,2011,50,4.5,King Crab,14,Premium
Leo,Bogotá,Colombia,South America,Colombian Contemporary,0,125,Leonor Espinosa,2007,45,4.5,Amazon Ants,18,Fine Dining
Lyle's,London,Uk,Europe,British Contemporary,0,85,James Lowe,2014,38,4.5,Pork Chop,11,Fine Dining
